Thread Type,Material,Size,Connection,QTY, Price ,"OFFSET
Factor","LONG PART >180""
Factor","LONG PART >120""
Factor",
SL Apex,22CR or Greater / Stainless Steel,2.375,Pin,1,1136.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Pin,1,1457.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Pin,1,749.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Pin,1,675.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Pin,1,809.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Pin,1,2172.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Pin,1,1547.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Pin,1,1857.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Pin,1,754.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Pin,1,725.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Pin,1,1708.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Pin,1,967.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Pin,1,1985.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Pin,1,729.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Pin,1,2470.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Pin,1,2103.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Pin,1,1748.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Pin,1,723.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Pin,1,1705.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Pin,1,2480.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Pin,1,1424.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Pin,1,1453.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Pin,1,1879.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Pin,1,1671.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Pin,1,1575.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Pin,1,2320.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Pin,1,941.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Pin,1,1261.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Pin,1,1073.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Pin,1,657.00,1.35,1.15,1.1,
