MaterialGrade,MaterialSpec,MaterialShape,SurfaceFinish,Region,AdditionalProcesses,Threading
13CR 80MY,ES-MA-89-4,Rod,NA,China,Process 1,HST PIN
718 125MY,ES-MA-89-4U,Tube,5RMS,India,Process 2,VAMTOP (FO)
S13CR 110MY NORSOK,ES-MA-46-2,In-Condition,8RMS,Singapore,Process 3,HST-HC PIN
41XX LAS 110MY,ES-MA-225-3,,16RMS,Malaysia,,VAMTOP HC (FO)
41XX LAS 80MY,ES-MA-18-4,,32RMS,USA,,BTS-8 (FO)
25CR 80MY  ,ES-MA-18-9,,63RMS,UK,,JFEBEAR (FO)
925 110MY,ES-MA-66-50,,,,,JFELION (FO)
8630M 125MY,ES-MA-67-2,,,,,OECO-A PIN
4130M 125MY,ES-MA-197-5,,,,,VAM 21 (FO)
4130M 110MY,ES-MA-174-3,,,,,TSH 511 (FO)
4130M 80MY,ES-MA-174-2,,,,,
41XX LAS 125MY,ES-MA-174-1,,,,,
13CR 105MY,ES-MA-18-5,,,,,
S13CR 110MY,ES-MA-58-5,,,,,
S13CR 95MY,ES-MA-134-18,,,,,
NI ALY 825 110MY,ES-MA-175-1,,,,,
9CR 80MY,ES-MA-134-22,,,,,
25CR 80MY NORSOK,ES-MA-185-1,,,,,
4140 125MY,ES-MA-58-7,,,,,
4130M 95MY,ES-MA-2-7,,,,,
718 140MY,ES-MA-229-4,,,,,
41XX 86MY,ES-MA-34-52,,,,,
,ES-MA-209-1,,,,,
,ES-MA-134-15,,,,,
,ES-MA-181,,,,,
,ES-MA-134-14,,,,,
,ES-MA-209-2,,,,,
,ES-MA-134-20,,,,,
,ES-MA-46-3,,,,,
,ES-MA-230-1,,,,,
,ES-MA-134-23,,,,,
,ES-MA-174-4,,,,,
